value,freq
4064,1
3507,1
6844,1
5784,1
5265,1
388,2
5842,1
437,2
3296,1
2603,1
3219,1
3900,4
325,3
504,13
4278,2
34,4
1837,1
3968,2
489,1
3275,1
5742,1
4899,1
312,9
572,5
4256,2
6006,1
4541,1
151,2
234,9
1023,2
2048,1
4805,1
5370,1
5808,1
1065,2
3250,3
1652,3
6003,1
1862,2
6858,1
3726,3
4056,2
5249,1
6000,3
1722,3
3444,3
3582,1
2568,2
2907,2
2436,5
855,4
2210,4
422,1
1098,3
240,15
3230,2
473,1
815,1
1864,1
6990,1
3255,3
4510,1
387,2
1881,3
1829,1
2512,1
490,5
501,1
235,3
2193,1
354,3
471,1
5084,1
6231,1
3165,1
259,1
932,1
71,2
6058,1
715,3
1719,1
398,1
1003,1
417,1
4977,1
920,6
5713,1
931,2
1702,1
262,1
4077,1
6786,1
1930,1
3077,1
3485,1
3122,1
7,3
1243,1
4526,1
5522,1
5625,1
1426,2
1705,2
1365,4
1840,5
2716,2
5267,1
5280,3
38,4
233,2
4427,1
4089,1
962,2
4180,3
7530,1
272,5
4508,2
2236,2
4305,1
1562,2
483,4
750,7
4706,1
3705,2
5974,1
4472,1
91,4
452,2
3850,2
3723,1
5451,1
702,7
4205,1
57,4
5474,1
5488,1
2400,8
3944,2
657,2
2856,6
4625,1
2295,3
2403,1
681,1
4148,1
1980,9
2680,1
896,6
1337,1
2573,1
6160,1
1178,2
298,1
2665,1
1377,3
3425,1
4370,2
134,3
1265,3
2574,5
4221,1
2256,3
4218,1
1115,1
3587,1
4446,3
6344,1
7028,1
3916,1
2114,1
4540,1
5775,1
2783,2
4681,1
5394,2
696,7
3417,1
980,7
2172,1
5125,1
142,3
6237,1
5940,2
6916,1
3741,1
249,3
214,3
3146,3
1573,2
355,1
2828,2
4393,1
692,1
3495,1
2567,1
1896,3
6030,1
1482,4
869,1
3633,1
551,2
1456,7
2852,2
194,3
1860,6
3171,1
1932,5
1422,3
3925,1
4125,1
2604,5
2882,1
6669,1
74,3
6150,2
3645,2
190,6
3567,1
856,2
6422,1
2715,1
667,2
1508,3
315,6
1090,2
3519,2
6076,2
5740,1
50,6
92,5
2086,1
550,5
621,4
670,2
6324,1
2321,1
905,1
212,4
217,4
760,6
1675,1
5064,1
5060,3
3893,1
2948,1
686,2
2961,1
2608,1
6293,2
3667,1
472,3
1541,1
3350,1
1664,4
819,4
2509,1
899,2
6214,1
20,7
4104,4
3629,1
1250,3
2839,1
3824,1
3410,2
5549,1
6275,1
1480,3
630,11
1266,1
916,1
7874,1
2008,1
5544,3
3060,5
930,6
1595,2
3696,5
56,8
1015,3
3996,2
4890,1
864,9
2632,2
1079,1
6641,1
2886,2
3887,1
520,7
4,4
5952,2
833,2
1533,2
341,2
3030,2
1058,1
678,2
1525,1
944,3
1515,1
3660,3
655,1
1920,8
3498,1
3075,2
4050,4
2788,1
2242,1
3570,4
320,7
5580,2
1650,6
2112,5
1781,1
888,5
3874,1
5908,1
6789,1
1784,1
167,2
6384,1
4580,1
3762,3
5516,1
4134,1
4503,1
3843,1
6902,1
949,1
736,4
2416,1
5124,2
3405,1
649,1
1240,5
901,1
1458,4
876,3
2117,1
1452,4
2508,4
3627,1
2584,2
4433,1
3700,2
3009,1
2714,1
3620,1
396,9
785,1
3180,3
256,4
1105,3
218,3
2096,1
5771,1
1350,8
848,3
969,2
3568,1
2464,5
1030,2
4200,6
147,5
3828,2
4000,3
1776,4
5611,1
2109,1
22,5
1898,2
3267,1
4225,1
2028,3
2929,1
2888,1
5640,2
680,6
955,1
237,3
5564,1
4142,1
4680,4
184,6
3982,1
1639,1
5236,2
4002,2
4642,1
3286,1
3195,1
1309,3
6600,1
344,3
3124,1
4292,1
4455,1
2914,1
2964,4
7500,1
764,1
5112,1
4840,2
4767,1
99,5
1450,3
2530,4
3819,1
2838,1
5597,1
1688,1
171,5
2900,3
3306,2
4588,1
3772,1
204,8
574,2
1596,6
6696,2
404,2
2725,1
909,1
2262,3
2398,2
429,3
3978,3
6510,2
1072,2
323,2
2619,1
1131,2
1710,6
1343,1
3321,1
3400,3
2904,3
4144,1
2235,1
2686,1
4160,2
5880,3
318,3
4843,1
2405,1
380,6
870,6
2040,7
3045,3
1826,2
2601,1
1505,1
2232,5
5487,1
765,4
1785,3
1096,1
6292,1
51,4
1863,3
247,4
4520,1
128,6
1564,2
1358,2
1157,1
803,1
2992,3
5103,2
7006,1
644,5
511,1
3565,2
2673,2
123,3
3480,5
1048,1
903,2
229,2
1778,2
2379,1
3172,2
375,4
246,5
1022,2
1152,7
1475,1
2299,2
5852,1
2743,1
4360,1
2316,1
3294,2
4884,1
2724,1
1749,1
4579,1
1715,1
3430,1
2622,2
7308,1
2507,1
2938,2
1566,4
2548,4
3438,1
6474,1
995,1
598,3
6244,1
1150,4
3038,2
3875,2
2666,1
4984,1
2709,1
3514,1
900,11
1064,5
1808,2
1116,5
222,5
534,2
1212,2
295,1
845,2
3161,1
2226,2
4375,1
6262,1
7112,1
7366,1
6119,1
3315,2
2745,1
1026,5
3010,1
6322,1
858,5
2550,4
3190,2
94,3
1274,4
1608,3
5448,1
3225,2
5612,1
4394,1
3942,2
1014,3
1190,5
2204,2
1819,1
5643,1
4280,1
1037,1
6380,1
1353,1
466,1
2241,2
3408,2
4925,1
2958,2
1374,1
3556,2
801,1
822,1
1547,3
3263,1
261,3
3844,1
784,6
1679,1
7230,1
2950,1
98,5
3969,2
4730,1
2415,3
3961,1
6110,1
358,1
834,1
3281,1
3125,1
3144,1
3175,1
1786,1
616,7
568,2
12,7
636,4
2034,2
1038,1
1403,1
7130,1
4560,4
4532,1
3332,3
3528,5
348,6
555,3
544,4
109,2
1221,1
3612,2
2754,3
1500,7
524,1
3504,2
2004,1
1550,3
4316,1
2505,1
3610,1
2865,1
4095,1
708,4
1691,1
596,1
37,2
2934,1
3052,2
5673,1
2432,2
4875,1
712,2
2607,1
5061,1
546,7
2268,7
4887,1
6804,2
6972,1
1356,2
117,5
1078,4
1416,4
2645,1
1818,2
4092,2
274,1
1331,1
199,2
3374,1
1928,1
6524,1
2814,2
868,5
4040,1
5900,1
2850,4
1936,4
40,8
665,3
2115,2
1413,1
1379,1
4818,1
988,4
5,3
4671,1
2410,1
343,1
5252,1
2996,2
5626,1
3304,2
411,1
851,1
3212,1
1708,3
3750,3
1587,1
3066,2
2470,4
285,4
4577,1
2292,1
5302,1
828,6
3439,1
3140,1
3572,1
3880,1
4344,1
3652,1
4014,1
830,2
3801,1
2275,2
5670,2
1209,2
130,7
6270,1
258,3
1836,5
